seed,parameter,truth,posterior_mean,posterior_median,q05,q95,error,abs_error,covered_by_q05_q95,divergences,n_surv_rows,n_surv_events,n_treated_rows
505,beta_stage_III,0.75,0.6896921992301941,0.6898820400238037,0.6238130331039429,0.7577259540557861,-0.06030780076980591,0.06030780076980591,1,0,30271,3827,14350
505,delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,30271,3827,14350
505,delta_post[1],0.12,0.1602855771780014,0.16085276007652283,0.03782662749290466,0.28353503346443176,0.04028557717800141,0.04028557717800141,1,0,30271,3827,14350
505,delta_post[2],0.2,0.20332075655460358,0.20375780761241913,0.07233121991157532,0.33721742033958435,0.0033207565546035656,0.0033207565546035656,1,0,30271,3827,14350
505,delta_post[3],0.28,0.19769024848937988,0.19705164432525635,0.05824820697307587,0.32896196842193604,-0.08230975151062014,0.08230975151062014,1,0,30271,3827,14350
505,delta_post[4],0.35,0.21028272807598114,0.2103784680366516,0.0376320406794548,0.3723437786102295,-0.13971727192401884,0.13971727192401884,1,0,30271,3827,14350
606,beta_td,-0.25,-0.28271186351776123,-0.2835463285446167,-0.37400782108306885,-0.19571876525878906,-0.03271186351776123,0.03271186351776123,1,0,29577,3853,13716
606,beta_age_per10_centered,0.18,0.1878320276737213,0.18790072202682495,0.1603732407093048,0.21627776324748993,0.00783202767372132,0.00783202767372132,1,0,29577,3853,13716
606,beta_cci,0.22,0.2122105360031128,0.21259567141532898,0.18801242113113403,0.2351047694683075,-0.007789463996887208,0.007789463996887208,1,0,29577,3853,13716
606,beta_tumor_size_log,0.3,0.1714044064283371,0.17074954509735107,0.09719304740428925,0.24880991876125336,-0.1285955935716629,0.1285955935716629,0,0,29577,3853,13716
606,beta_stage_II,0.3,0.3685605525970459,0.3683505654335022,0.30343005061149597,0.4352218806743622,0.06856055259704591,0.06856055259704591,0,0,29577,3853,13716
606,beta_stage_III,0.75,0.8064475059509277,0.8067330121994019,0.736642062664032,0.8748009204864502,0.056447505950927734,0.056447505950927734,1,0,29577,3853,13716
606,delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,29577,3853,13716
606,delta_post[1],0.12,0.17766359448432922,0.17598974704742432,0.053697653114795685,0.3034919798374176,0.05766359448432923,0.05766359448432923,1,0,29577,3853,13716
606,delta_post[2],0.2,0.2776031792163849,0.2766263484954834,0.160109281539917,0.3896788954734802,0.07760317921638488,0.07760317921638488,1,0,29577,3853,13716
606,delta_post[3],0.28,0.29634222388267517,0.29429328441619873,0.16848169267177582,0.4301646053791046,0.016342223882675144,0.016342223882675144,1,0,29577,3853,13716
606,delta_post[4],0.35,0.3366110622882843,0.33412063121795654,0.17919957637786865,0.5055254697799683,-0.013388937711715676,0.013388937711715676,1,0,29577,3853,13716
707,beta_td,-0.25,-0.1312316358089447,-0.13149146735668182,-0.21968048810958862,-0.040915947407484055,0.1187683641910553,0.1187683641910553,0,0,29033,3847,13093
707,beta_age_per10_centered,0.18,0.1714942306280136,0.17188340425491333,0.14374439418315887,0.19836631417274475,-0.008505769371986382,0.008505769371986382,1,0,29033,3847,13093
707,beta_cci,0.22,0.22911670804023743,0.22892531752586365,0.20513597130775452,0.2525591254234314,0.009116708040237426,0.009116708040237426,1,0,29033,3847,13093
707,beta_tumor_size_log,0.3,0.1656344085931778,0.16567033529281616,0.09476617723703384,0.2442307025194168,-0.1343655914068222,0.1343655914068222,0,0,29033,3847,13093
707,beta_stage_II,0.3,0.22149896621704102,0.22052894532680511,0.1578209549188614,0.2845289707183838,-0.07850103378295897,0.07850103378295897,0,0,29033,3847,13093
707,beta_stage_III,0.75,0.6776147484779358,0.6772115230560303,0.6097072958946228,0.747920572757721,-0.07238525152206421,0.07238525152206421,0,0,29033,3847,13093
707,delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,29033,3847,13093
707,delta_post[1],0.12,0.006866041570901871,0.012106331065297127,-0.12480470538139343,0.1287810206413269,-0.11313395842909812,0.11313395842909812,1,0,29033,3847,13093
707,delta_post[2],0.2,0.12082500010728836,0.12399967014789581,0.0014009568840265274,0.24232245981693268,-0.07917499989271165,0.07917499989271165,1,0,29033,3847,13093
707,delta_post[3],0.28,0.2844237685203552,0.2830708622932434,0.1544475108385086,0.41453129053115845,0.004423768520355198,0.004423768520355198,1,0,29033,3847,13093
707,delta_post[4],0.35,0.2915424108505249,0.28917068243026733,0.11784296482801437,0.4628193974494934,-0.058457589149475075,0.058457589149475075,1,0,29033,3847,13093
808,beta_td,-0.25,-0.2141573131084442,-0.21462483704090118,-0.30256780982017517,-0.12448111921548843,0.035842686891555786,0.035842686891555786,1,0,30077,3873,14478
808,beta_age_per10_centered,0.18,0.15363767743110657,0.1537904143333435,0.12699662148952484,0.1784975528717041,-0.026362322568893426,0.026362322568893426,0,0,30077,3873,14478
808,beta_cci,0.22,0.21001708507537842,0.20934723317623138,0.1854304075241089,0.23517034947872162,-0.009982914924621583,0.009982914924621583,1,0,30077,3873,14478
808,beta_tumor_size_log,0.3,0.21354861557483673,0.21568259596824646,0.13243304193019867,0.28383851051330566,-0.08645138442516326,0.08645138442516326,0,0,30077,3873,14478
808,beta_stage_II,0.3,0.2911161482334137,0.28987565636634827,0.23140296339988708,0.3551032245159149,-0.008883851766586293,0.008883851766586293,1,0,30077,3873,14478
808,beta_stage_III,0.75,0.7560600638389587,0.7578691244125366,0.6880480051040649,0.8207216858863831,0.00606006383895874,0.00606006383895874,1,0,30077,3873,14478
808,delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,30077,3873,14478
808,delta_post[1],0.12,0.14416377246379852,0.1480388045310974,0.02251504547894001,0.27045032382011414,0.024163772463798527,0.024163772463798527,1,0,30077,3873,14478
808,delta_post[2],0.2,0.09823496639728546,0.09587226808071136,-0.0164111889898777,0.21815107762813568,-0.10176503360271455,0.10176503360271455,1,0,30077,3873,14478
808,delta_post[3],0.28,0.13840079307556152,0.13744333386421204,0.006906847935169935,0.2745611369609833,-0.1415992069244385,0.1415992069244385,0,0,30077,3873,14478
808,delta_post[4],0.35,0.02654130943119526,0.028285417705774307,-0.15440592169761658,0.20352676510810852,-0.3234586905688047,0.3234586905688047,0,0,30077,3873,14478
909,beta_td,-0.25,-0.23464538156986237,-0.23244741559028625,-0.33134159445762634,-0.14452552795410156,0.015354618430137634,0.015354618430137634,1,0,29602,3834,13679
909,beta_age_per10_centered,0.18,0.1732458472251892,0.17403021454811096,0.14664030075073242,0.19979402422904968,-0.006754152774810784,0.006754152774810784,1,0,29602,3834,13679
909,beta_cci,0.22,0.2108718603849411,0.2113463133573532,0.1849510371685028,0.23662333190441132,-0.0091281396150589,0.0091281396150589,1,0,29602,3834,13679
909,beta_tumor_size_log,0.3,0.20448850095272064,0.2026129961013794,0.1322905421257019,0.2805135250091553,-0.09551149904727935,0.09551149904727935,0,0,29602,3834,13679
909,beta_stage_II,0.3,0.3152523636817932,0.3149135708808899,0.25399741530418396,0.38251572847366333,0.015252363681793224,0.015252363681793224,1,0,29602,3834,13679
909,beta_stage_III,0.75,0.7270269989967346,0.728744387626648,0.6595706939697266,0.7911556363105774,-0.02297300100326538,0.02297300100326538,1,0,29602,3834,13679
909,delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,29602,3834,13679
909,delta_post[1],0.12,0.15212386846542358,0.14953625202178955,0.03183232620358467,0.2832197844982147,0.03212386846542359,0.03212386846542359,1,0,29602,3834,13679
909,delta_post[2],0.2,0.1460522711277008,0.14399182796478271,0.017942102625966072,0.27430328726768494,-0.053947728872299205,0.053947728872299205,1,0,29602,3834,13679
909,delta_post[3],0.28,0.31993383169174194,0.3193594217300415,0.1921232044696808,0.4519369304180145,0.03993383169174192,0.03993383169174192,1,0,29602,3834,13679
909,delta_post[4],0.35,0.24867500364780426,0.24616004526615143,0.07543833553791046,0.42296478152275085,-0.10132499635219572,0.10132499635219572,1,0,29602,3834,13679
1001,beta_td,-0.25,-0.19067919254302979,-0.18859824538230896,-0.28611433506011963,-0.1054881289601326,0.059320807456970215,0.059320807456970215,1,0,30194,3814,14210
1001,beta_age_per10_centered,0.18,0.2003622204065323,0.20042715966701508,0.17450720071792603,0.22972425818443298,0.020362220406532294,0.020362220406532294,1,0,30194,3814,14210
1001,beta_cci,0.22,0.22753015160560608,0.2269209325313568,0.20523592829704285,0.2498396337032318,0.007530151605606078,0.007530151605606078,1,0,30194,3814,14210
1001,beta_tumor_size_log,0.3,0.28840166330337524,0.28619056940078735,0.21380504965782166,0.3687506318092346,-0.011598336696624745,0.011598336696624745,1,0,30194,3814,14210
1001,beta_stage_II,0.3,0.2941877543926239,0.2950516939163208,0.23258724808692932,0.35815590620040894,-0.0058122456073760875,0.0058122456073760875,1,0,30194,3814,14210
1001,beta_stage_III,0.75,0.7501665353775024,0.7513681054115295,0.6807631254196167,0.8169748783111572,0.0001665353775024414,0.0001665353775024414,1,0,30194,3814,14210
1001,delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,30194,3814,14210
1001,delta_post[1],0.12,0.18386739492416382,0.1840810477733612,0.060121919959783554,0.31422290205955505,0.06386739492416382,0.06386739492416382,1,0,30194,3814,14210
1001,delta_post[2],0.2,0.16028286516666412,0.15675568580627441,0.04381760582327843,0.2805587947368622,-0.03971713483333589,0.03971713483333589,1,0,30194,3814,14210
1001,delta_post[3],0.28,0.286540150642395,0.2829017639160156,0.15756385028362274,0.4318483769893646,0.006540150642394993,0.006540150642394993,1,0,30194,3814,14210
1001,delta_post[4],0.35,0.24514596164226532,0.24096275866031647,0.07888443768024445,0.4189890921115875,-0.10485403835773466,0.10485403835773466,1,0,30194,3814,14210
